primaryImage,Medium
https://images.metmuseum.org/CRDImages/ep/original/DP324600.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap95.23.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP123852.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-035.jpg,Oil on slate paper
https://images.metmuseum.org/CRDImages/as/original/14_140_15_F_sf.jpg,Unmounted shikisi leaf; ink and color on silk
https://images.metmuseum.org/CRDImages/ep/original/DP120412.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DT1387.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/SF Maso.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/ep/original/DP-14201-037.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP169383.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-19550-001.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/rl/original/DT718.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1570.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP317663.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/63487.jpg,Oil on glass
https://images.metmuseum.org/CRDImages/ad/original/ap95.20.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP147932.jpg,Oil on copper
https://images.metmuseum.org/CRDImages/ad/original/ap87.8.11.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP312864.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT2040.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT8854.jpg,Oil on copper
https://images.metmuseum.org/CRDImages/ad/original/ap22.45.2.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP316906.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-17398-001.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP164876.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT4626.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap06.1323.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-14286-009.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP145401.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT204722.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/rl/original/DT3088.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP348637.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT5284.jpg,"Oil on canvas, transferred from wood"
https://images.metmuseum.org/CRDImages/ep/original/DT1967.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/Villegas_87_15_39_Examining_Arms_Cropped.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP169400.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT2892.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/ep49.7.18.bw.R.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DT5656.jpg,Oil on oak
https://images.metmuseum.org/CRDImages/ad/original/DT11918.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DP361299.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-19582-001.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/ad/original/ap33.120.619.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/as/original/DP156112.jpg,Ink and opaque watercolor on paper
https://images.metmuseum.org/CRDImages/rl/original/DT713.jpg,Oil on oak panel
https://images.metmuseum.org/CRDImages/ad/original/DT10354.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-21084-001.jpg,Oil on wood
