primaryImage,Medium
https://images.metmuseum.org/CRDImages/as/original/DP121525.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145657.jpg,Diptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145659.jpg,Diptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145660.jpg,Diptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145661.jpg,Diptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145662.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145663.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145664.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141228.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123237.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP120436.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123256.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP120437.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP120462.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP120463.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP120464.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122195.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122173.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122216.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP120438.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP120439.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP146838.jpg,Woodblock print (surimono); ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123239.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123240.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121541.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121542.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121543.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122117.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122118.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122120.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123730.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP120489.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP120490.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP120491.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121510.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121511.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121512.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121514.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121528.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122825.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122826.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122827.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122828.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122829.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122830.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122831.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122832.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122833.jpg,Woodblock print; ink and color on paper
