primaryImage,Medium
https://images.metmuseum.org/CRDImages/dp/original/DP880383.jpg,Etching
https://images.metmuseum.org/CRDImages/dp/original/DP818841.jpg,Engraving; first state
https://images.metmuseum.org/CRDImages/as/original/LC-CP99_001.jpg,Polychrome woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/dp/original/DP862889.jpg,Engraving and hand coloring (watercolor)
https://images.metmuseum.org/CRDImages/dp/original/DPB874729.jpg,Commercial color lithograph
https://images.metmuseum.org/CRDImages/as/original/DP130270.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP135619.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/dp/original/DP871883.jpg,Etching
https://images.metmuseum.org/CRDImages/dp/original/DP877886.jpg,Lithograph on newsprint; second state of two (Delteil)
https://images.metmuseum.org/CRDImages/dp/original/DP818374.jpg,Etching and aquatint
https://images.metmuseum.org/CRDImages/dp/original/DP817488.jpg,"Etching, burnished aquatint, drypoint"
https://images.metmuseum.org/CRDImages/dp/original/DP890702.jpg,Etching
https://images.metmuseum.org/CRDImages/dp/original/DPB882618.jpg,Commercial color lithograph
https://images.metmuseum.org/CRDImages/dp/original/DP855195.jpg,Woodcut
https://images.metmuseum.org/CRDImages/dp/original/DP841783.jpg,Engraving
https://images.metmuseum.org/CRDImages/dp/original/DP886900.jpg,Etching
https://images.metmuseum.org/CRDImages/dp/original/DP836766.jpg,Engraving
https://images.metmuseum.org/CRDImages/dp/original/DPB871180.jpg,Commercial color lithograph
https://images.metmuseum.org/CRDImages/as/original/DP144611.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/dp/original/DP881073.jpg,Hand-colored etching and aquatint
https://images.metmuseum.org/CRDImages/dp/original/DP821832.jpg,Etching
https://images.metmuseum.org/CRDImages/dp/original/DP818517.jpg,Hand-colored etching
https://images.metmuseum.org/CRDImages/dp/original/DP820384.jpg,Engraving
https://images.metmuseum.org/CRDImages/dp/original/DP869159.jpg,Engraving
https://images.metmuseum.org/CRDImages/dp/original/DPB873727.jpg,Commercial color lithograph
https://images.metmuseum.org/CRDImages/dp/original/DP871890.jpg,Hand-colored etching
https://images.metmuseum.org/CRDImages/dp/original/DP877754.jpg,Lithograph on newsprint; third state of three (Delteil)
https://images.metmuseum.org/CRDImages/dp/original/DP823253.jpg,Commercial color lithograph
https://images.metmuseum.org/CRDImages/dp/original/DP829243.jpg,Commercial color lithograph
https://images.metmuseum.org/CRDImages/dp/original/DP888067.jpg,Etching and engraving
https://images.metmuseum.org/CRDImages/dp/original/DP890440.jpg,Etching; first state of two (Lieure)
https://images.metmuseum.org/CRDImages/dp/original/DP813493.jpg,Woodcut
https://images.metmuseum.org/CRDImages/dp/original/DPB872465.jpg,Commercial color lithograph
https://images.metmuseum.org/CRDImages/dp/original/DP879350.jpg,Hand-colored lithograph
https://images.metmuseum.org/CRDImages/dp/original/DP838874.jpg,Commercial color lithograph
https://images.metmuseum.org/CRDImages/dp/original/DP885681.jpg,Etching
https://images.metmuseum.org/CRDImages/dp/original/DP876688.jpg,Lithograph on newsprint
https://images.metmuseum.org/CRDImages/as/original/DP137838.jpg,Woodblock print (surimono); ink and color on paper
https://images.metmuseum.org/CRDImages/dp/original/DP841590.jpg,Engraving
https://images.metmuseum.org/CRDImages/dp/original/DP834534.jpg,Commercial color lithograph
https://images.metmuseum.org/CRDImages/dp/original/DPB870590.jpg,Commercial color lithograph
https://images.metmuseum.org/CRDImages/dp/original/DP870481.jpg,Engraving
https://images.metmuseum.org/CRDImages/dp/original/DP835031.jpg,Commercial color lithograph
https://images.metmuseum.org/CRDImages/dp/original/DPB882580.jpg,Commercial color lithograph
https://images.metmuseum.org/CRDImages/dp/original/DP830912.jpg,Engraving
https://images.metmuseum.org/CRDImages/dp/original/DP815049.jpg,"Etching, first state"
https://images.metmuseum.org/CRDImages/dp/original/DP234474.jpg,Drypoint
